[2025-01-17 11:20:58.431] [info]  DiscordSplash.signalReady
[2025-01-17 11:20:58.508] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-01-17 11:20:58.509] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-01-17 11:20:58.511] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-01-17 11:20:58.511] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-01-17 11:20:58.512] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-01-17 11:20:58.513] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-01-17 11:20:58.513] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-01-17 11:20:58.514] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-01-17 11:20:58.515] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-01-17 11:20:58.515] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-01-17 11:20:58.525] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-01-17 11:20:58.526] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-01-17 11:20:58.531] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-01-17 11:20:58.531] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-01-17 11:20:59.203] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-01-17 11:20:59.204] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-01-17 11:20:59.430] [info]  Splash.updateCountdownSeconds: undefined
[2025-01-17 11:20:59.811] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-01-17 11:20:59.811] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-01-17 11:20:59.812] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-01-17 11:20:59.812] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-01-17 11:20:59.843] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-01-17 11:20:59.844] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-01-17 11:20:59.851] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-01-17 11:20:59.852] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-01-17 11:20:59.869] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2025-01-17 11:20:59.870] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2025-01-17 11:20:59.877] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-01-17 11:20:59.878] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-01-17 11:20:59.886] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-01-17 11:20:59.886] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-01-17 11:20:59.888] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2025-01-17 11:20:59.888] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
